ID	load	Lat	Long
SRR1945435	249	47.4	0.683333
SRR1945436	255	48.5167	-4.06667
SRR1945437	255	48.5167	-4.06667
SRR1945438	258	47.35	3.93333
SRR1945439	256	44.65	-1.16667
SRR1945440	253	46.6667	4.11667
SRR1945441	254	46.6667	4.11667
SRR1945442	256	49.3667	16.2667
SRR1945443	253	49.4211	16.3497
SRR1945444	248	49.4112	16.2815
SRR1945445	254	49.403	16.232
SRR1945446	254	47	15.5
SRR1945447	242	40.8313	-87.735
SRR1945448	236	40.8313	-87.735
SRR1945449	249	40.8313	-87.735
SRR1945450	246	40.8313	-87.735
SRR1945451	250	40.8313	-87.735
SRR1945452	252	40.8313	-87.735
SRR1945453	249	40.9076	-73.2089
SRR1945454	247	40.9076	-73.2089
SRR1945455	247	40.7777	-72.9069
SRR1945456	250	40.7777	-72.9069
SRR1945457	249	40.9447	-72.8615
SRR1945458	250	40.9447	-72.8615
SRR1945459	248	40.9064	-73.1493
SRR1945460	251	40.9064	-73.1493
SRR1945461	251	40.9352	-73.114
SRR1945462	249	40.9352	-73.114
SRR1945463	252	42.3	74.3667
SRR1945464	249	42.1833	73.4
SRR1945465	247	42.5833	73.6333
SRR1945466	250	42.8	76.35
SRR1945467	256	37.35	72.4667
SRR1945468	250	37.9169	-84.4639
SRR1945469	248	41.7976	-86.6691
SRR1945470	248	41.7976	-86.6691
SRR1945471	249	41.8266	-86.4366
SRR1945472	249	41.8266	-86.4366
SRR1945473	256	41.8266	-86.4366
SRR1945474	253	41.8972	-71.4378
SRR1945475	259	42.3634	-71.1445
SRR1945476	245	55.3822641	14.0526813
SRR1945477	228	55.3822641	14.0526813
SRR1945478	244	55.3822641	14.0526813
SRR1945479	238	55.3833	14.05
SRR1945480	251	55.3833	14.05
SRR1945481	248	55.7167	14.1333
SRR1945482	253	55.7167	14.1333
SRR1945483	249	55.7167	14.1333
SRR1945484	238	55.7167	14.1333
SRR1945485	231	55.7167	14.1333
SRR1945486	251	56.7	16.5167
SRR1945487	253	56.7	16.5167
SRR1945488	254	59.4333	17.0167
SRR1945489	253	59.4333	17.0167
SRR1945490	245	59.5667	16.8667
SRR1945491	255	59.5667	16.8667
SRR1945492	240	63.0833	18.3667
SRR1945493	250	41.9	-86.583
SRR1945494	249	41.9	-86.583
SRR1945495	251	43.3431	-86.4045
SRR1945496	249	43.3431	-86.4045
SRR1945497	248	41.879	-86.607
SRR1945498	251	41.879	-86.607
SRR1945499	244	42.405	-85.398
SRR1945500	243	42.405	-85.398
SRR1945501	252	42.184	-86.358
SRR1945502	249	42.184	-86.358
SRR1945503	249	41.847	-86.67
SRR1945504	248	41.847	-86.67
SRR1945505	250	41.8	-86.67
SRR1945506	250	41.8	-86.67
SRR1945507	255	42.051	-86.509
SRR1945508	246	42.051	-86.509
SRR1945509	249	42.051	-86.509
SRR1945510	249	43.595	-86.2657
SRR1945511	250	43.595	-86.2657
SRR1945512	248	43.595	-86.2657
SRR1945513	250	43.595	-86.2657
SRR1945514	259	43.5139	-86.1859
SRR1945515	246	43.5251	-86.1843
SRR1945516	253	43.5251	-86.1843
SRR1945517	251	43.5251	-86.1843
SRR1945518	250	43.5187	-86.1739
SRR1945519	254	43.5356	-86.1788
SRR1945520	249	43.5356	-86.1788
SRR1945521	251	42.166	-86.412
SRR1945522	247	42.166	-86.412
SRR1945523	251	42.166	-86.412
SRR1945524	250	43.2483	-86.3368
SRR1945525	251	43.2483	-86.3368
SRR1945526	244	43.2749	-86.0891
SRR1945527	250	43.2749	-86.0891
SRR1945528	244	43.2749	-86.0891
SRR1945529	248	42.148	-86.431
SRR1945530	245	42.148	-86.431
SRR1945531	263	42.148	-86.431
SRR1945532	247	43.7623	-86.3929
SRR1945533	253	43.7623	-86.3929
SRR1945534	251	43.7623	-86.3929
SRR1945535	250	42.184	-86.382
SRR1945536	250	42.184	-86.382
SRR1945537	250	43.665	-86.496
SRR1945538	249	43.665	-86.496
SRR1945539	248	43.665	-86.496
SRR1945540	248	43.665	-86.496
SRR1945541	256	42.03	-86.514
SRR1945542	247	41.865	-86.646
SRR1945543	246	41.865	-86.646
SRR1945544	250	50.4	-4.9
SRR1945545	251	50.4	-4.9
SRR1945546	248	50.4	-4.9
SRR1945547	248	50.4	-4.9
SRR1945548	246	50.3	-4.9
SRR1945549	249	50.3	-4.9
SRR1945550	247	50.3	-4.8
SRR1945551	252	50.4	-4.7
SRR1945552	251	50.5	-4.5
SRR1945553	253	51.3	0.5
SRR1945554	267	51.3	0.5
SRR1945555	249	52.2	-1.7
SRR1945556	260	51.3	0.4
SRR1945557	258	51.2	0.3
SRR1945558	253	51.2	0.4
SRR1945559	246	51.2	0.3
SRR1945560	251	51.1	0.6
SRR1945561	256	51.3	1.1
SRR1945562	253	51.3	1.1
SRR1945563	257	51.1	0.4
SRR1945564	253	54.5	-3
SRR1945565	245	54.4	-3
SRR1945566	263	54.6	-3.3
SRR1945567	250	54.7	-3.4
SRR1945568	253	54.4	-2.9
SRR1945569	246	54.4	-2.9
SRR1945570	241	54.6	-3.2
SRR1945571	243	57	-3.4
SRR1945572	250	53.3	-1.6
SRR1945573	252	51.3	1.1
SRR1945574	254	56.6	-4.1
SRR1945575	259	56	-4.4
SRR1945576	252	54.6	-2.3
SRR1945577	257	54.1	-1.5
SRR1945578	248	54.1	-2.3
SRR1945579	249	52.9	-1.3
SRR1945580	251	51	-3.1
SRR1945581	264	56.4	-5.2
SRR1945582	252	53.1	-3.3
SRR1945583	254	57.4	-5.5
SRR1945584	256	52.9	-3.1
SRR1945585	253	56.7333	-5.98333
SRR1945586	238	56.3130014	15.9807762
SRR1945587	240	56.3130014	15.9807762
SRR1945588	240	56.3130014	15.9807762
SRR1945589	253	55.86	13.51
SRR1945590	249	49.4013	16.2326
SRR1945591	225	63.0091989	17.4849587
SRR1945592	254	62.6814	18.0165
SRR1945593	245	55.7565106	14.1231006
SRR1945594	235	55.7570661	14.1220385
SRR1945595	246	49.4112	16.2815
SRR1945596	246	49.4112	16.2815
SRR1945597	257	49.4112	16.2815
SRR1945598	256	49.4112	16.2815
SRR1945599	243	49.4112	16.2815
SRR1945600	249	49.4112	16.2815
SRR1945601	250	49.4112	16.2815
SRR1945602	253	49.4112	16.2815
SRR1945603	252	49.1	16.2
SRR1945604	245	62.8759855	18.1749827
SRR1945605	240	62.877	18.177
SRR1945606	250	62.8759855	18.1749827
SRR1945607	248	62.8759855	18.1749827
SRR1945608	245	62.8759855	18.1749827
SRR1945609	219	62.9147	18.4045
SRR1945610	243	62.9147	18.4045
SRR1945611	236	56.0617671	14.2786489
SRR1945612	237	56.0617671	14.2786489
SRR1945613	243	56.068008	14.281492
SRR1945614	239	56.06	14.29
SRR1945615	240	55.7501271	13.3720798
SRR1945616	245	55.7509	13.3712
SRR1945617	244	62.6381	17.7311
SRR1945618	241	62.806	18.1896
SRR1945619	249	56.0755241	13.7453108
SRR1945620	240	56.0755241	13.7453108
SRR1945621	247	56.1045244	13.7249024
SRR1945622	251	56.1045244	13.7249024
SRR1945623	222	56.1132251	13.7296953
SRR1945624	233	55.66	13.4
SRR1945625	247	56.0089259	14.7427433
SRR1945626	254	56.0964877	13.8561835
SRR1945627	223	62.8003225	18.075722
SRR1945628	231	62.9513	18.2763
SRR1945629	228	62.9513	18.2763
SRR1945630	234	62.956806	18.339997
SRR1945631	240	62.9308	18.3448
SRR1945632	237	56.1460908	15.7779722
SRR1945633	250	55.709434	13.2155403
SRR1945634	238	56.4573	16.1308
SRR1945635	228	55.6942	13.4504
SRR1945636	249	55.6942	13.4504
SRR1945637	251	58.9	11.2
SRR1945638	249	55.6525	13.2197
SRR1945639	238	56.4666	16.1284
SRR1945640	240	56.4666	16.1284
