name	present	absent	rarity
rnd-1_family-60#RC/Helitron	42	15	0.7368421052631579
rnd-4_family-1072#LTR/Gypsy	42	15	0.7368421052631579
rnd-4_family-4385#LTR/Gypsy	48	9	0.8421052631578947
rnd-1_family-252#LTR/Gypsy	53	4	0.9298245614035088
rnd-4_family-1380#RC/Helitron	55	2	0.9649122807017544
rnd-4_family-76#LTR/Copia	55	2	0.9649122807017544
rnd-4_family-74#LTR/Copia	56	1	0.9824561403508771
rnd-1_family-102#LTR/Gypsy	57	0	1
rnd-1_family-106#LTR/Gypsy	57	0	1
rnd-1_family-109#LTR/Pao	57	0	1
rnd-1_family-11#RC/Helitron	57	0	1
rnd-1_family-113#LTR/Pao	57	0	1
rnd-1_family-114#LTR/Pao	57	0	1
rnd-1_family-115#LTR/Pao	57	0	1
rnd-1_family-117#LTR/Pao	57	0	1
rnd-1_family-119#LTR/Gypsy	57	0	1
rnd-1_family-124#LTR/Gypsy	57	0	1
rnd-1_family-13#LTR/Gypsy	57	0	1
rnd-1_family-135#DNA/TcMar-Mariner	57	0	1
rnd-1_family-136#LTR/ERVK	57	0	1
rnd-1_family-138#LTR/Pao	57	0	1
rnd-1_family-140#LTR/Gypsy	57	0	1
rnd-1_family-141#LTR/Pao	57	0	1
rnd-1_family-145#LTR/Pao	57	0	1
rnd-1_family-146#LTR/Pao	57	0	1
rnd-1_family-147#RC/Helitron	57	0	1
rnd-1_family-150#LINE/I-Jockey	57	0	1
rnd-1_family-152#LTR/Pao	57	0	1
rnd-1_family-153#LTR/Gypsy	57	0	1
rnd-1_family-159#LTR/Gypsy	57	0	1
rnd-1_family-162#LINE/I-Jockey	57	0	1
rnd-1_family-164#LTR/Gypsy	57	0	1
rnd-1_family-168#RC/Helitron	57	0	1
rnd-1_family-17#LINE/CR1	57	0	1
rnd-1_family-176#LTR/Copia	57	0	1
rnd-1_family-179#DNA/hAT-hobo	57	0	1
rnd-1_family-181#DNA/CMC-Transib	57	0	1
rnd-1_family-188#LINE/R1-LOA	57	0	1
rnd-1_family-189#LTR/Gypsy	57	0	1
rnd-1_family-19#LINE/I-Jockey	57	0	1
rnd-1_family-20#LTR/Gypsy	57	0	1
rnd-1_family-200#RC/Helitron	57	0	1
rnd-1_family-206#LTR/Gypsy	57	0	1
rnd-1_family-207#DNA/TcMar-Tc1	57	0	1
rnd-1_family-208#DNA/P	57	0	1
rnd-1_family-21#LINE/CR1	57	0	1
rnd-1_family-212#LTR/Gypsy	57	0	1
rnd-1_family-215#LTR/Pao	57	0	1
rnd-1_family-222#LTR/Gypsy	57	0	1
rnd-1_family-225#LTR/Gypsy	57	0	1
rnd-1_family-23#LTR/Gypsy	57	0	1
rnd-1_family-231#LTR/Pao	57	0	1
rnd-1_family-232#LINE/I-Jockey	57	0	1
rnd-1_family-234#RC/Helitron	57	0	1
rnd-1_family-236#LTR/Gypsy	57	0	1
rnd-1_family-24#RC/Helitron	57	0	1
rnd-1_family-241#DNA/TcMar-Tc1	57	0	1
rnd-1_family-247#RC/Helitron	57	0	1
rnd-1_family-250#LTR/Gypsy	57	0	1
rnd-1_family-251#LTR/Gypsy	57	0	1
rnd-1_family-253#LINE/I-Jockey	57	0	1
rnd-1_family-256#LINE/CR1	57	0	1
rnd-1_family-257#LTR/Gypsy	57	0	1
rnd-1_family-258#LTR/Gypsy	57	0	1
rnd-1_family-264#LTR/Gypsy	57	0	1
rnd-1_family-269#LTR/Gypsy	57	0	1
rnd-1_family-273#LINE/I-Jockey	57	0	1
rnd-1_family-274#LTR/Gypsy	57	0	1
rnd-1_family-278#LINE/I-Jockey	57	0	1
rnd-1_family-280#LTR/Gypsy	57	0	1
rnd-1_family-282#LTR/Pao	57	0	1
rnd-1_family-284#LINE/I-Jockey	57	0	1
rnd-1_family-288#LTR/Gypsy	57	0	1
rnd-1_family-289#LTR/Gypsy	57	0	1
