Species	te	present_in
D.mel.A2.fa	DMTNFB	49
D.mel.A2.fa	1360	49
D.mel.A2.fa	412	49
D.mel.A2.fa	DMMDG3	49
D.mel.A2.fa	FB	13
D.mel.A2.fa	DMTRDNA	49
D.mel.A2.fa	STALKER3	49
D.mel.A2.fa	McCLINTOCK	49
D.mel.A2.fa	INVADER5	48
D.mel.A2.fa	TRANSIB3	49
D.mel.A2.fa	TC1	49
D.mel.A2.fa	MARINER2	49
D.mel.A2.fa	DM88	49
D.mel.A2.fa	BAGGINS	49
D.mel.A2.fa	HELITRON1_DM	49
D.mel.A2.fa	DMRER2DM	49
D.mel.A2.fa	DMAURA	49
D.mel.A2.fa	DMBLPP	49
D.mel.A2.fa	DMHFL1	41
D.mel.A2.fa	STALKER2	49
D.mel.A2.fa	DM23420	49
D.mel.A2.fa	RT1B	49
D.mel.A2.fa	DMCOPIA	49
D.mel.A2.fa	Beagle2	49
D.mel.A2.fa	Tinker	49
D.mel.A2.fa	TABOR	49
D.mel.A2.fa	DME487856	49
D.mel.A2.fa	DOC5	49
D.mel.A2.fa	TIRANT	42
D.mel.A2.fa	Q	5
D.mel.A2.fa	BS	49
D.mel.A2.fa	DMCR1A	49
D.mel.A2.fa	STALKER4	49
D.mel.A2.fa	DMIS176	49
D.mel.A2.fa	GYPSY5	45
D.mel.A2.fa	G5A	49
D.mel.A2.fa	INVADER2	49
D.mel.A2.fa	GYPSY6	49
D.mel.A2.fa	FW3	49
D.mel.A2.fa	DIVER2	49
D.mel.A2.fa	ROOA_LTR	48
D.mel.A2.fa	TRANSIB4	49
D.mel.A2.fa	GYPSY8	42
D.mel.A2.fa	GYPSY7	48
D.mel.A2.fa	G7	48
D.mel.A2.fa	GYPSY10	49
D.mel.A2.fa	QBERT	48
D.mel.A2.fa	G5_DM	49
D.mel.A2.fa	GYPSY3	47
D.mel.A2.fa	ROXELEMENT	49
D.mel.A2.fa	GYPSY12	49
D.mel.A2.fa	JUAN	49
D.mel.A2.fa	INVADER6	49
D.mel.A2.fa	DMBARI1	49
D.mel.A2.fa	LOOPER1_DM	48
D.mel.A2.fa	TRANSIB2	49
D.mel.A2.fa	G6_DM	49
D.mel.A2.fa	DME9736	49
D.mel.A2.fa	G2	49
D.mel.A2.fa	DME278684	49
D.mel.A2.fa	BLOOD	49
D.mel.A2.fa	DM_ROO	49
D.mel.A2.fa	DMGYPF1A	49
D.mel.A2.fa	Beagle	49
D.mel.A2.fa	QUASIMODO	49
D.mel.A2.fa	HOPPER2	49
D.mel.A2.fa	IVK	49
D.mel.A2.fa	OPUS	49
D.mel.A2.fa	INVADER	49
D.mel.A2.fa	STALKER	47
D.mel.A2.fa	TRANSIB1	49
D.mel.A2.fa	G3	48
D.mel.A2.fa	R1-2	49
D.mel.A2.fa	DMTN1731	49
D.mel.A2.fa	FROGGER	49
D.mel.A2.fa	HEL	49
D.mel.A2.fa	DMPOGOR11	49
D.mel.A2.fa	DMRTMGD1	49
D.mel.A2.fa	F	49
D.mel.A2.fa	GYPSY2	48
D.mel.A2.fa	GYPSY4	49
D.mel.A2.fa	DMTOM1_LTR	49
D.mel.A2.fa	BS3	49
D.mel.A2.fa	ROVER	49
D.mel.A2.fa	DOC3	49
D.mel.A2.fa	DOC4	49
D.mel.A2.fa	GYPSY11	48
D.mel.A2.fa	OSV	49
D.mel.A2.fa	G4_DM	49
D.mel.A2.fa	DMZAM	47
D.mel.A2.fa	FW2	49
D.mel.A2.fa	DM33463	49
D.mel.A2.fa	SPRINGER	49
D.mel.A2.fa	DMLINEJA	49
D.mel.A2.fa	AF222049	49
D.mel.A2.fa	DMU89994	49
D.mel.A2.fa	DMIS297	49
D.mel.A2.fa	DMW1DOC	49
D.mel.A2.fa	DMIFACA	49
D.mel.A2.fa	INE1	49
D.mel.A2.fa	TC1-2	49
D.mel.A2.fa	AF541951	49
D.mel.A2.fa	INVADER4	49
D.mel.A2.fa	JOCKEY2	49
D.mel.A2.fa	DM14101	28
D.mel.A2.fa	AY561850	33
D.mel.A2.fa	TARTC	35
D.mel.A2.fa	DM06920	49
D.mel.A2.fa	TAHRE	49
D.mel.A2.fa	DMTHB1	49
D.mel.A2.fa	INVADER3	49
D.mel.A2.fa	CIRC	49
D.mel.A2.fa	ACCORD	49
D.mel.A2.fa	GTWIN	49
D.mel.A2.fa	DME010298	49
D.mel.A2.fa	DMDM11	49
D.mel.A2.fa	RT1C	49
D.mel.A2.fa	S2	49
D.mel.A2.fa	DMRER1DM	49
D.mel.A2.fa	DOC2	49
D.mel.A2.fa	BS4	49
D.mel.A2.fa	TC3	49
D.mel.A2.fa	GYPSY9	25
D.mel.A2.fa	DMREPG	49
D.mel.A3.fa	BLOOD	49
D.mel.A3.fa	JUAN	49
D.mel.A3.fa	DMDM11	49
D.mel.A3.fa	DMTRDNA	49
D.mel.A3.fa	DM23420	49
D.mel.A3.fa	DMIS176	49
D.mel.A3.fa	DMTN1731	49
D.mel.A3.fa	GTWIN	49
D.mel.A3.fa	STALKER3	49
D.mel.A3.fa	DMIS297	49
D.mel.A3.fa	DMHFL1	41
D.mel.A3.fa	INVADER5	48
D.mel.A3.fa	TRANSIB3	49
D.mel.A3.fa	MARINER2	49
D.mel.A3.fa	DM88	49
D.mel.A3.fa	BAGGINS	49
D.mel.A3.fa	HELITRON1_DM	49
D.mel.A3.fa	DME010298	49
D.mel.A3.fa	DMAURA	49
D.mel.A3.fa	INVADER	49
D.mel.A3.fa	DMREPG	49
D.mel.A3.fa	CIRC	49
