te	present_in	absent	rarity
rnd-1_family-10#LTR/Gypsy	1135	0	1
rnd-1_family-101#Satellite	763	372	0.6722466960352423
rnd-1_family-103#LTR/Gypsy	1135	0	1
rnd-1_family-105#LTR/Gypsy	1135	0	1
rnd-1_family-109#Unknown	1135	0	1
rnd-1_family-112#Unknown	840	295	0.7400881057268722
rnd-1_family-113#RC/Helitron	1092	43	0.9621145374449339
rnd-1_family-114#Unknown	1055	80	0.9295154185022027
rnd-1_family-117#Unknown	1055	80	0.9295154185022027
rnd-1_family-118#LTR/Gypsy	1135	0	1
rnd-1_family-12#Unknown	1133	2	0.9982378854625551
rnd-1_family-121#Unknown	1134	1	0.9991189427312775
rnd-1_family-124#Unknown	1135	0	1
rnd-1_family-125#LTR/Gypsy	1135	0	1
rnd-1_family-128#DNA/TcMar-Pogo	1127	8	0.9929515418502203
rnd-1_family-130#Unknown	1039	96	0.9154185022026432
rnd-1_family-131#DNA/CMC-EnSpm	1135	0	1
rnd-1_family-137#Unknown	1070	65	0.9427312775330396
rnd-1_family-139#Unknown	1135	0	1
rnd-1_family-14#LTR/Gypsy	1135	0	1
rnd-1_family-142#Unknown	1135	0	1
rnd-1_family-143#DNA/MULE-MuDR	1135	0	1
rnd-1_family-144#LTR/Gypsy	1135	0	1
rnd-1_family-145#LTR/Gypsy	1135	0	1
rnd-1_family-146#LTR/Gypsy	1135	0	1
rnd-1_family-147#Unknown	1084	51	0.9550660792951542
rnd-1_family-149#Unknown	913	222	0.8044052863436123
rnd-1_family-152#Unknown	1135	0	1
rnd-1_family-156#Unknown	1098	37	0.9674008810572687
rnd-1_family-164#Unknown	1115	20	0.9823788546255506
rnd-1_family-165#Unknown	1135	0	1
rnd-1_family-167#Unknown	1092	43	0.9621145374449339
rnd-1_family-168#DNA/MULE-MuDR	1135	0	1
rnd-1_family-17#Satellite	1132	3	0.9973568281938326
rnd-1_family-173#DNA/MULE-MuDR	1135	0	1
rnd-1_family-174#Unknown	1124	11	0.9903083700440528
rnd-1_family-176#Unknown	1094	41	0.9638766519823788
rnd-1_family-177#LTR/Gypsy	1135	0	1
rnd-1_family-178#Unknown	1121	14	0.9876651982378855
rnd-1_family-179#Unknown	916	219	0.8070484581497798
rnd-1_family-180#Unknown	968	167	0.852863436123348
rnd-1_family-181#Unknown	1124	11	0.9903083700440528
rnd-1_family-182#Unknown	1134	1	0.9991189427312775
rnd-1_family-184#Unknown	1135	0	1
rnd-1_family-186#LTR/Gypsy	1135	0	1
rnd-1_family-187#Unknown	914	221	0.8052863436123348
rnd-1_family-192#LTR/Gypsy	1135	0	1
rnd-1_family-193#LTR/Gypsy	1135	0	1
rnd-1_family-195#LTR/Gypsy	1135	0	1
rnd-1_family-197#Unknown	1079	56	0.9506607929515418
rnd-1_family-199#Unknown	1127	8	0.9929515418502203
rnd-1_family-202#Satellite	978	157	0.8616740088105727
rnd-1_family-203#tRNA	1135	0	1
rnd-1_family-206#DNA/CMC-EnSpm	1135	0	1
rnd-1_family-208#LTR/Gypsy	1131	4	0.9964757709251101
rnd-1_family-209#Unknown	1135	0	1
rnd-1_family-21#Unknown	1121	14	0.9876651982378855
rnd-1_family-212#Satellite	881	254	0.7762114537444934
rnd-1_family-217#LTR/Gypsy	1131	4	0.9964757709251101
rnd-1_family-219#DNA/MULE-MuDR	1135	0	1
