te	present_in	absent	rarity
rnd-1_family-0#DNA/hAT-Ac	591	0	1
rnd-1_family-10#DNA	591	0	1
rnd-1_family-100#DNA	591	0	1
rnd-1_family-101#DNA/hAT	591	0	1
rnd-1_family-105#RC/Helitron	591	0	1
rnd-1_family-107#DNA	591	0	1
rnd-1_family-109#DNA/MULE-MuDR	591	0	1
rnd-1_family-11#Satellite	591	0	1
rnd-1_family-111#Unknown	364	227	0.6159052453468697
rnd-1_family-114#DNA/MULE-MuDR	591	0	1
rnd-1_family-116#DNA/TcMar-Tc4	591	0	1
rnd-1_family-117#Unknown	591	0	1
rnd-1_family-12#Unknown	517	74	0.8747884940778342
rnd-1_family-122#Unknown	589	2	0.9966159052453468
rnd-1_family-124#DNA/PiggyBac	369	222	0.6243654822335025
rnd-1_family-128#DNA/TcMar-Tc4	591	0	1
rnd-1_family-129#DNA/MULE-MuDR	591	0	1
rnd-1_family-13#DNA/PiggyBac	591	0	1
rnd-1_family-130#Unknown	591	0	1
rnd-1_family-131#DNA/TcMar-Tc1	591	0	1
rnd-1_family-134#Unknown	590	1	0.9983079526226735
rnd-1_family-136#DNA/TcMar-Tc4	591	0	1
rnd-1_family-14#DNA/PiggyBac	581	10	0.9830795262267343
rnd-1_family-140#DNA/TcMar-Mariner	591	0	1
rnd-1_family-142#DNA/TcMar-Tc1	591	0	1
rnd-1_family-144#Satellite	591	0	1
rnd-1_family-146#DNA/TcMar-Tc4	591	0	1
rnd-1_family-147#DNA	591	0	1
rnd-1_family-149#DNA/TcMar-Tc1	591	0	1
rnd-1_family-152#Satellite	575	16	0.9729272419627749
rnd-1_family-154#DNA/TcMar-Mariner	591	0	1
rnd-1_family-156#DNA/MULE-MuDR	591	0	1
rnd-1_family-160#Unknown	259	332	0.43824027072758037
rnd-1_family-161#DNA/TcMar-Tc4	591	0	1
rnd-1_family-163#DNA/TcMar-Tc1	591	0	1
rnd-1_family-164#DNA/TcMar-Pogo	591	0	1
rnd-1_family-165#LINE/RTE-RTE	591	0	1
rnd-1_family-166#DNA	591	0	1
rnd-1_family-168#DNA/MULE-MuDR	591	0	1
rnd-1_family-174#DNA/TcMar-Tc1	591	0	1
rnd-1_family-176#DNA/TcMar-Pogo	591	0	1
rnd-1_family-178#LINE/CR1	591	0	1
rnd-1_family-180#Unknown	591	0	1
rnd-1_family-182#DNA/MULE-MuDR	591	0	1
rnd-1_family-183#DNA/MULE-MuDR	591	0	1
rnd-1_family-184#DNA	591	0	1
rnd-1_family-188#Satellite	591	0	1
rnd-1_family-19#DNA/PiggyBac	591	0	1
rnd-1_family-192#DNA/hAT-Ac	591	0	1
rnd-1_family-193#DNA/TcMar-Mariner	591	0	1
rnd-1_family-194#DNA/TcMar-Tc1	591	0	1
rnd-1_family-197#LTR/ERV1	591	0	1
rnd-1_family-198#Unknown	591	0	1
rnd-1_family-2#Satellite	591	0	1
rnd-1_family-204#DNA/TcMar-Tc4	591	0	1
rnd-1_family-205#LINE/CR1	591	0	1
rnd-1_family-207#DNA/TcMar-Tc4	591	0	1
rnd-1_family-210#LINE/CR1	591	0	1
rnd-1_family-211#DNA/PiggyBac	1	590	0.001692047377326565
rnd-1_family-216#Satellite	591	0	1
rnd-1_family-217#DNA	591	0	1
rnd-1_family-218#RC/Helitron	335	256	0.5668358714043993
rnd-1_family-219#Unknown	591	0	1
rnd-1_family-221#LTR/Gypsy	591	0	1
rnd-1_family-222#Unknown	591	0	1
rnd-1_family-223#Unknown	591	0	1
rnd-1_family-224#DNA/TcMar-Tc1	591	0	1
rnd-1_family-225#DNA/TcMar-Tc1	591	0	1
rnd-1_family-230#DNA/TcMar-Tc1	591	0	1
rnd-1_family-232#DNA/hAT	591	0	1
rnd-1_family-233#DNA/TcMar-Tc1	591	0	1
rnd-1_family-234#DNA/PiggyBac	591	0	1
rnd-1_family-236#DNA/TcMar-Tc1	591	0	1
rnd-1_family-237#Satellite	591	0	1
rnd-1_family-238#Unknown	591	0	1
rnd-1_family-239#DNA/PiggyBac	591	0	1
rnd-1_family-240#DNA/MULE-MuDR	591	0	1
rnd-1_family-242#Unknown	590	1	0.9983079526226735
rnd-1_family-243#Unknown	591	0	1
rnd-1_family-247#Unknown	589	2	0.9966159052453468
rnd-1_family-250#Unknown	591	0	1
rnd-1_family-251#Unknown	591	0	1
rnd-1_family-255#DNA/TcMar-Tc1	591	0	1
rnd-1_family-258#DNA/TcMar-Tc1	591	0	1
rnd-1_family-259#Unknown	306	285	0.5177664974619289
rnd-1_family-260#RC/Helitron	591	0	1
rnd-1_family-262#DNA	591	0	1
