name	present	absent	rarity
rnd-4_family-2363#LTR/Gypsy	27	18	0.6
rnd-4_family-1504#DNA/P	44	1	0.9777777777777777
rnd-1_family-102#LTR/Gypsy	45	0	1
rnd-1_family-103#LTR/Pao	45	0	1
rnd-1_family-110#LINE/I-Jockey	45	0	1
rnd-1_family-113#LTR/Gypsy	45	0	1
rnd-1_family-117#LTR/Gypsy	45	0	1
rnd-1_family-118#LINE/I-Jockey	45	0	1
rnd-1_family-120#LTR/Gypsy	45	0	1
rnd-1_family-124#LINE/R1	45	0	1
rnd-1_family-125#LINE/R1	45	0	1
rnd-1_family-127#LINE/I-Jockey	45	0	1
rnd-1_family-128#LTR/Gypsy	45	0	1
rnd-1_family-129#LTR/Gypsy	45	0	1
rnd-1_family-13#LINE/R1	45	0	1
rnd-1_family-130#LTR/Gypsy	45	0	1
rnd-1_family-131#LTR/Gypsy	45	0	1
rnd-1_family-134#LTR/Gypsy	45	0	1
rnd-1_family-135#LTR/Gypsy	45	0	1
rnd-1_family-136#LINE/I-Jockey	45	0	1
rnd-1_family-14#LTR/Pao	45	0	1
rnd-1_family-141#LTR/Gypsy	45	0	1
rnd-1_family-142#LTR/Gypsy	45	0	1
rnd-1_family-144#DNA/TcMar-Tc1	45	0	1
rnd-1_family-146#LTR/Gypsy	45	0	1
rnd-1_family-148#LTR/Gypsy	45	0	1
rnd-1_family-149#LTR/Gypsy	45	0	1
rnd-1_family-151#LTR/Gypsy	45	0	1
rnd-1_family-154#LINE/R1-LOA	45	0	1
rnd-1_family-159#LTR/Gypsy	45	0	1
rnd-1_family-160#LTR/Gypsy	45	0	1
rnd-1_family-161#LTR/Gypsy	45	0	1
rnd-1_family-162#LTR/Gypsy	45	0	1
rnd-1_family-166#LTR/Pao	45	0	1
rnd-1_family-167#LTR/Gypsy	45	0	1
rnd-1_family-169#LTR/Pao	45	0	1
rnd-1_family-17#LINE/I-Jockey	45	0	1
rnd-1_family-170#LTR/Gypsy	45	0	1
rnd-1_family-171#LTR/Gypsy	45	0	1
rnd-1_family-173#LINE/R1	45	0	1
rnd-1_family-175#DNA/CMC-Transib	45	0	1
rnd-1_family-18#RC/Helitron	45	0	1
rnd-1_family-183#LTR/Gypsy	45	0	1
rnd-1_family-185#LTR/Pao	45	0	1
rnd-1_family-20#LTR/Gypsy	45	0	1
rnd-1_family-21#DNA/P	45	0	1
rnd-1_family-25#LINE/I-Jockey	45	0	1
rnd-1_family-26#RC/Helitron	45	0	1
rnd-1_family-27#RC/Helitron	45	0	1
rnd-1_family-28#LTR/Gypsy	45	0	1
rnd-1_family-29#LTR/Gypsy	45	0	1
rnd-1_family-3#LINE/I-Jockey	45	0	1
rnd-1_family-30#LINE/I-Jockey	45	0	1
rnd-1_family-36#LTR/Gypsy	45	0	1
rnd-1_family-39#LTR/Gypsy	45	0	1
rnd-1_family-40#LTR/Copia	45	0	1
rnd-1_family-41#LTR/Gypsy	45	0	1
rnd-1_family-42#LTR/Gypsy	45	0	1
rnd-1_family-46#LTR/Gypsy	45	0	1
rnd-1_family-49#LTR/Gypsy	45	0	1
rnd-1_family-50#LINE/I-Jockey	45	0	1
rnd-1_family-51#LTR/Gypsy	45	0	1
rnd-1_family-54#DNA/hAT-hobo	45	0	1
rnd-1_family-57#DNA/P	45	0	1
rnd-1_family-61#LTR/Gypsy	45	0	1
rnd-1_family-62#LINE/I-Jockey	45	0	1
rnd-1_family-63#LTR/Gypsy	45	0	1
rnd-1_family-64#LTR/Pao	45	0	1
rnd-1_family-67#LTR/Gypsy	45	0	1
rnd-1_family-7#DNA/P	45	0	1
rnd-1_family-72#LTR/Gypsy	45	0	1
rnd-1_family-75#LINE/I-Jockey	45	0	1
rnd-1_family-77#LINE/R1-LOA	45	0	1
rnd-1_family-78#LTR/Pao	45	0	1
rnd-1_family-83#LINE/I-Jockey	45	0	1
rnd-1_family-85#LINE/I	45	0	1
rnd-1_family-86#DNA/CMC-Transib	45	0	1
rnd-1_family-9#RC/Helitron	45	0	1
rnd-1_family-90#LTR/Gypsy	45	0	1
rnd-1_family-91#LTR/Gypsy	45	0	1
rnd-1_family-94#LTR/Gypsy	45	0	1
rnd-1_family-95#LTR/Gypsy	45	0	1
rnd-1_family-97#LINE/I-Jockey	45	0	1
rnd-1_family-98#LTR/Gypsy	45	0	1
rnd-3_family-318#LTR/Pao	45	0	1
rnd-3_family-909#DNA/TcMar-Tc1	45	0	1
rnd-4_family-1#LTR/Copia	45	0	1
rnd-4_family-10#LTR/Gypsy	45	0	1
rnd-4_family-11#DNA/CMC-Transib	45	0	1
rnd-4_family-1131#LTR/Gypsy	45	0	1
