name	present	absent	rarity
rnd-4_family-1044#LTR/Gypsy	7	82	0.07865168539325842
rnd-3_family-41#LINE	32	57	0.3595505617977528
rnd-4_family-4712#DNA/P	39	50	0.43820224719101125
rnd-4_family-1031#LTR/Pao	84	5	0.9438202247191011
rnd-1_family-154#LTR/Gypsy	86	3	0.9662921348314607
rnd-4_family-1931#DNA/P	86	3	0.9662921348314607
rnd-4_family-805#LINE/I-Jockey	86	3	0.9662921348314607
rnd-1_family-148#DNA/TcMar-Tc1	87	2	0.9775280898876404
rnd-1_family-23#LINE/I-Jockey	87	2	0.9775280898876404
rnd-1_family-52#RC/Helitron	87	2	0.9775280898876404
rnd-1_family-65#LTR/Pao	87	2	0.9775280898876404
rnd-4_family-1654#RC/Helitron	87	2	0.9775280898876404
rnd-4_family-2497#LTR/ERV1	87	2	0.9775280898876404
rnd-4_family-72#DNA/TcMar-Tigger	87	2	0.9775280898876404
rnd-4_family-792#LINE/CR1	87	2	0.9775280898876404
rnd-4_family-974#PLE/Chlamys	87	2	0.9775280898876404
rnd-1_family-145#LINE/R1	88	1	0.9887640449438202
rnd-1_family-159#LTR/Gypsy	88	1	0.9887640449438202
rnd-1_family-24#LTR/Gypsy	88	1	0.9887640449438202
rnd-4_family-2384#RC/Helitron	88	1	0.9887640449438202
rnd-4_family-264#LTR/Gypsy	88	1	0.9887640449438202
rnd-4_family-2892#LTR/Gypsy	88	1	0.9887640449438202
rnd-4_family-408#DNA/hAT-Charlie	88	1	0.9887640449438202
rnd-4_family-44#DNA/TcMar-Tc1	88	1	0.9887640449438202
rnd-4_family-823#LTR/Gypsy	88	1	0.9887640449438202
rnd-1_family-1#LINE/I-Jockey	89	0	1
rnd-1_family-101#LINE/I-Jockey	89	0	1
rnd-1_family-103#LTR/Copia	89	0	1
rnd-1_family-104#RC/Helitron	89	0	1
rnd-1_family-105#LTR/Pao	89	0	1
rnd-1_family-106#RC/Helitron	89	0	1
rnd-1_family-11#RC/Helitron	89	0	1
rnd-1_family-111#LTR/Gypsy	89	0	1
rnd-1_family-112#LTR/Gypsy	89	0	1
rnd-1_family-113#LINE/I-Jockey	89	0	1
rnd-1_family-115#LINE/R1	89	0	1
rnd-1_family-116#LTR/Gypsy	89	0	1
rnd-1_family-117#LTR/Gypsy	89	0	1
rnd-1_family-119#LTR/Gypsy	89	0	1
rnd-1_family-12#LINE/R1	89	0	1
rnd-1_family-120#LTR/Gypsy	89	0	1
rnd-1_family-123#LTR/Gypsy	89	0	1
rnd-1_family-124#LINE/I-Jockey	89	0	1
rnd-1_family-125#LTR/Pao	89	0	1
rnd-1_family-13#LINE/CR1	89	0	1
rnd-1_family-132#LINE/I	89	0	1
rnd-1_family-133#LTR/Gypsy	89	0	1
rnd-1_family-138#LTR/Gypsy	89	0	1
rnd-1_family-139#LINE/R1-LOA	89	0	1
rnd-1_family-140#LTR/Gypsy	89	0	1
rnd-1_family-143#LINE/I-Jockey	89	0	1
rnd-1_family-147#LINE/R1	89	0	1
rnd-1_family-155#LTR/Pao	89	0	1
rnd-1_family-156#LTR/Pao	89	0	1
rnd-1_family-16#LINE/I-Jockey	89	0	1
rnd-1_family-162#LTR/Gypsy	89	0	1
rnd-1_family-164#LTR/Pao	89	0	1
rnd-1_family-169#RC/Helitron	89	0	1
rnd-1_family-17#RC/Helitron	89	0	1
rnd-1_family-18#LTR/Gypsy	89	0	1
rnd-1_family-19#LTR/Pao	89	0	1
rnd-1_family-25#LINE/I-Jockey	89	0	1
rnd-1_family-28#LTR/Gypsy	89	0	1
rnd-1_family-33#LTR/Gypsy	89	0	1
rnd-1_family-34#LTR/Gypsy	89	0	1
rnd-1_family-36#DNA/P	89	0	1
rnd-1_family-39#LTR/Pao	89	0	1
rnd-1_family-42#LINE/R1-LOA	89	0	1
rnd-1_family-44#LINE/I-Jockey	89	0	1
rnd-1_family-45#LINE/R1	89	0	1
rnd-1_family-46#DNA/CMC-Transib	89	0	1
rnd-1_family-47#LTR/Gypsy	89	0	1
rnd-1_family-49#DNA/TcMar-Tc1	89	0	1
rnd-1_family-53#LTR/Pao	89	0	1
rnd-1_family-54#LINE/I-Jockey	89	0	1
rnd-1_family-55#LTR/Gypsy	89	0	1
rnd-1_family-58#DNA/hAT-hobo	89	0	1
rnd-1_family-61#DNA/TcMar-Tc1	89	0	1
rnd-1_family-62#RC/Helitron	89	0	1
rnd-1_family-63#LINE/I-Jockey	89	0	1
rnd-1_family-67#LINE/I-Jockey	89	0	1
rnd-1_family-69#LTR/Gypsy	89	0	1
rnd-1_family-71#LTR/Gypsy	89	0	1
rnd-1_family-73#LINE/I	89	0	1
rnd-1_family-74#LTR/Gypsy	89	0	1
rnd-1_family-76#LTR/Gypsy	89	0	1
rnd-1_family-83#LTR/Gypsy	89	0	1
rnd-1_family-84#LINE/I	89	0	1
rnd-1_family-9#RC/Helitron	89	0	1
rnd-1_family-91#LTR/Gypsy	89	0	1
rnd-1_family-94#LTR/Gypsy	89	0	1
rnd-1_family-97#RC/Helitron	89	0	1
rnd-2_family-166#rRNA	89	0	1
rnd-2_family-5#rRNA	89	0	1
rnd-3_family-481#LTR/Pao	89	0	1
rnd-3_family-563#LINE/R2	89	0	1
rnd-3_family-564#LTR/Pao	89	0	1
rnd-3_family-724#LTR/Pao	89	0	1
rnd-3_family-959#LTR/Gypsy	89	0	1
rnd-4_family-10364#LTR/Gypsy	89	0	1
rnd-4_family-1038#LTR/Gypsy	89	0	1
rnd-4_family-1055#LTR/Gypsy	89	0	1
rnd-4_family-1079#LTR/Gypsy	89	0	1
rnd-4_family-1089#DNA/CMC-Transib	89	0	1
rnd-4_family-1100#LTR/Gypsy	89	0	1
rnd-4_family-1111#LTR/Gypsy	89	0	1
rnd-4_family-1115#DNA/TcMar-Tc1	89	0	1
rnd-4_family-1121#LTR/Pao	89	0	1
rnd-4_family-1224#DNA/TcMar-Tc1	89	0	1
rnd-4_family-1284#DNA/TcMar-Tc1	89	0	1
rnd-4_family-1366#LTR/Pao	89	0	1
rnd-4_family-1503#LTR/Gypsy	89	0	1
rnd-4_family-1697#LTR/Gypsy	89	0	1
rnd-4_family-1821#LINE/I-Jockey	89	0	1
rnd-4_family-1913#LTR/Gypsy	89	0	1
rnd-4_family-1921#LTR/Pao	89	0	1
rnd-4_family-2475#LTR/Pao	89	0	1
rnd-4_family-2574#LINE/R1	89	0	1
rnd-4_family-2592#LTR/Gypsy	89	0	1
rnd-4_family-260#LTR/Pao	89	0	1
rnd-4_family-262#LTR/Gypsy	89	0	1
rnd-4_family-265#LTR/Gypsy	89	0	1
rnd-4_family-268#LTR/Gypsy	89	0	1
rnd-4_family-272#LTR/Gypsy	89	0	1
rnd-4_family-297#LINE/I-Jockey	89	0	1
rnd-4_family-302#LTR/Copia	89	0	1
rnd-4_family-303#LTR/Copia	89	0	1
rnd-4_family-314#LTR/Gypsy	89	0	1
rnd-4_family-3142#LTR/Gypsy	89	0	1
rnd-4_family-315#DNA/P	89	0	1
rnd-4_family-318#LTR/Gypsy	89	0	1
rnd-4_family-322#LTR/Gypsy	89	0	1
rnd-4_family-3374#LTR/Gypsy	89	0	1
rnd-4_family-3414#LINE/I-Jockey	89	0	1
rnd-4_family-3452#LTR/Pao	89	0	1
rnd-4_family-39#LTR/Gypsy	89	0	1
rnd-4_family-43#LTR/Gypsy	89	0	1
rnd-4_family-4302#LTR/Gypsy	89	0	1
rnd-4_family-4722#LINE/I-Jockey	89	0	1
rnd-4_family-4847#LTR/Pao	89	0	1
rnd-4_family-51#LTR/Gypsy	89	0	1
rnd-4_family-527#LTR/Copia	89	0	1
rnd-4_family-5458#LTR/Gypsy	89	0	1
rnd-4_family-57#LTR/Gypsy	89	0	1
rnd-4_family-59#LTR/Gypsy	89	0	1
rnd-4_family-605#LTR/Gypsy	89	0	1
rnd-4_family-655#DNA/hAT-Ac	89	0	1
rnd-4_family-771#LINE/I-Jockey	89	0	1
rnd-4_family-786#LTR/Gypsy	89	0	1
rnd-4_family-820#LINE/I-Jockey	89	0	1
rnd-4_family-870#LTR/Gypsy	89	0	1
rnd-4_family-901#LINE/I	89	0	1
rnd-5_family-1173#DNA/CMC-Transib	89	0	1
rnd-5_family-82#DNA/hAT-hATm	89	0	1
