te	present_in	absent	rarity
rnd-1_family-100#LINE/L1	81	0	1
rnd-1_family-109#LINE/L1	81	0	1
rnd-1_family-111#LTR/ERVK	81	0	1
rnd-1_family-115#LTR/ERVK	81	0	1
rnd-1_family-117#Satellite	81	0	1
rnd-1_family-118#LTR/ERVK	81	0	1
rnd-1_family-121#LTR/ERVK	81	0	1
rnd-1_family-132#LTR/ERVK	81	0	1
rnd-1_family-135#LTR/ERVK	81	0	1
rnd-1_family-136#LINE/L1	81	0	1
rnd-1_family-137#LINE/L1	81	0	1
rnd-1_family-140#LTR/ERVK	81	0	1
rnd-1_family-142#LTR/ERVK	81	0	1
rnd-1_family-144#LTR/ERVK	81	0	1
rnd-1_family-145#LTR/ERVK	81	0	1
rnd-1_family-146#LINE/L1	81	0	1
rnd-1_family-153#LINE/L1	81	0	1
rnd-1_family-154#LINE/L1	81	0	1
rnd-1_family-155#LTR/ERVL-MaLR	81	0	1
rnd-1_family-156#LINE/L1	81	0	1
rnd-1_family-157#LINE/L1	81	0	1
rnd-1_family-164#LINE/L1	81	0	1
rnd-1_family-17#LINE/L1	81	0	1
rnd-1_family-170#LTR/ERVL	81	0	1
rnd-1_family-172#LTR/ERVK	81	0	1
rnd-1_family-175#LTR/ERVK	81	0	1
rnd-1_family-176#LINE/L1	81	0	1
rnd-1_family-177#LINE/L1	81	0	1
rnd-1_family-178#LTR/ERVK	81	0	1
rnd-1_family-183#LINE/L1	81	0	1
rnd-1_family-186#LINE/L1	81	0	1
rnd-1_family-189#LTR/ERVK	81	0	1
rnd-1_family-19#LINE/L1	81	0	1
rnd-1_family-190#LINE/L1	81	0	1
rnd-1_family-193#LINE/L1	81	0	1
rnd-1_family-197#LTR/ERVK	81	0	1
rnd-1_family-199#LTR/ERVK	81	0	1
rnd-1_family-2#LINE/L1	81	0	1
rnd-1_family-20#LINE/L1	81	0	1
rnd-1_family-200#LTR/ERVK	81	0	1
rnd-1_family-202#LTR/ERVK	81	0	1
rnd-1_family-208#LTR/ERVK	81	0	1
rnd-1_family-209#Retroposon/L1-dep	81	0	1
rnd-1_family-212#LINE/L1	81	0	1
rnd-1_family-215#LTR/ERVK	81	0	1
rnd-1_family-217#LINE/L1	81	0	1
rnd-1_family-218#LINE/L1	81	0	1
rnd-1_family-22#LINE/L1	81	0	1
rnd-1_family-223#LTR/ERVK	81	0	1
rnd-1_family-224#LINE/L1	81	0	1
rnd-1_family-227#LINE/L1	81	0	1
rnd-1_family-228#LINE/L1	81	0	1
rnd-1_family-231#LINE/L1	81	0	1
rnd-1_family-234#LINE/L1	81	0	1
rnd-1_family-238#LTR/ERVK	81	0	1
rnd-1_family-239#LTR/ERVK	81	0	1
rnd-1_family-243#SINE/Alu	81	0	1
rnd-1_family-246#LTR/ERVL-MaLR	81	0	1
rnd-1_family-247#LTR/ERVK	81	0	1
rnd-1_family-248#LTR/ERVK	81	0	1
rnd-1_family-249#LTR/ERVK	81	0	1
rnd-1_family-251#LTR/ERVK	81	0	1
rnd-1_family-252#LTR/ERVK	81	0	1
rnd-1_family-255#LINE/L1	81	0	1
rnd-1_family-261#LINE/L1	81	0	1
rnd-1_family-262#LTR/ERVK	81	0	1
rnd-1_family-267#LTR/ERVK	81	0	1
rnd-1_family-270#LTR/ERVK	81	0	1
rnd-1_family-274#LTR/ERVK	81	0	1
rnd-1_family-276#LINE/L1	77	4	0.9506172839506173
rnd-1_family-279#LTR/ERVK	81	0	1
rnd-1_family-284#LTR/ERVK	81	0	1
rnd-1_family-285#LTR/ERVK	81	0	1
rnd-1_family-292#LINE/L1	81	0	1
rnd-1_family-293#LINE/L1	81	0	1
rnd-1_family-296#LTR/ERV1	81	0	1
rnd-1_family-297#LINE/L1	81	0	1
rnd-1_family-302#LINE/L1	81	0	1
rnd-1_family-305#LTR/ERVK	81	0	1
rnd-1_family-307#LINE/L1	81	0	1
rnd-1_family-31#LINE/L1	81	0	1
rnd-1_family-310#LINE/L1	81	0	1
rnd-1_family-311#LINE/L1	81	0	1
rnd-1_family-313#LTR/ERVK	81	0	1
rnd-1_family-316#LTR/ERVK	81	0	1
rnd-1_family-320#LINE/L1	81	0	1
rnd-1_family-321#LTR/ERVK	81	0	1
rnd-1_family-322#LTR/ERVL-MaLR	81	0	1
rnd-1_family-326#LTR/ERVK	81	0	1
rnd-1_family-327#LTR/ERVK	81	0	1
rnd-1_family-328#LTR/ERVK	81	0	1
rnd-1_family-35#LINE/L1	81	0	1
rnd-1_family-36#LINE/L1	81	0	1
rnd-1_family-39#LTR/ERVK	81	0	1
rnd-1_family-46#LINE/L1	81	0	1
rnd-1_family-57#SINE/Alu	81	0	1
rnd-1_family-60#LINE/L1	81	0	1
rnd-1_family-63#LINE/L1	81	0	1
rnd-1_family-65#LTR/ERVL-MaLR	81	0	1
rnd-1_family-67#LINE/L1	81	0	1
rnd-1_family-74#Satellite	80	1	0.9876543209876543
rnd-1_family-77#LINE/L1	81	0	1
rnd-1_family-79#LINE/L1	81	0	1
rnd-1_family-80#DNA/Zisupton	81	0	1
rnd-1_family-84#LINE/L1	81	0	1
rnd-1_family-90#LTR/ERVK	81	0	1
rnd-1_family-92#LTR/ERVK	81	0	1
rnd-1_family-93#LINE/L1	81	0	1
rnd-1_family-99#LTR/ERVL	81	0	1
rnd-2_family-34#LINE/L1	81	0	1
rnd-2_family-67#LINE/L1	80	1	0.9876543209876543
rnd-3_family-1094#LTR/ERV1	81	0	1
rnd-3_family-110#LTR/ERVK	81	0	1
rnd-3_family-168#LTR/ERV1	81	0	1
rnd-3_family-175#LTR/ERV1	81	0	1
rnd-3_family-242#LTR/ERVK	81	0	1
rnd-3_family-269#LTR/ERVK	81	0	1
rnd-3_family-3#LTR/ERVK	81	0	1
rnd-3_family-312#LTR/ERVL	81	0	1
rnd-3_family-339#LTR/ERVK	81	0	1
rnd-3_family-37#LTR/ERVK	81	0	1
rnd-3_family-392#LTR/ERVK	81	0	1
rnd-3_family-48#LTR/ERVK	78	3	0.9629629629629629
rnd-3_family-490#LTR/ERVK	81	0	1
rnd-3_family-499#LTR/ERVK	81	0	1
rnd-3_family-53#DNA/hAT-Charlie	80	1	0.9876543209876543
rnd-3_family-55#LTR/ERVL	81	0	1
rnd-3_family-66#LTR/ERVK	81	0	1
rnd-3_family-75#LINE/L1	81	0	1
rnd-3_family-792#LTR/ERVK	81	0	1
rnd-3_family-921#Retroposon/L1-dep	81	0	1
rnd-4_family-105#LTR/ERVK	81	0	1
rnd-4_family-1063#Unknown	81	0	1
rnd-4_family-1068#Unknown	81	0	1
rnd-4_family-109#LTR/ERVK	81	0	1
rnd-4_family-1092#LTR/ERVK	80	1	0.9876543209876543
rnd-4_family-1165#LTR/ERVK	81	0	1
rnd-4_family-1199#LTR/ERV	81	0	1
rnd-4_family-1215#LTR/ERVK	81	0	1
rnd-4_family-1252#LINE/L1	81	0	1
rnd-4_family-1268#LINE/L1	81	0	1
rnd-4_family-1305#Unknown	81	0	1
rnd-4_family-1319#LTR/ERV1	81	0	1
rnd-4_family-1336#SINE/Alu	81	0	1
rnd-4_family-1482#LTR/ERVK	81	0	1
rnd-4_family-1483#LTR/ERVK	81	0	1
rnd-4_family-151#LTR/ERVL	81	0	1
rnd-4_family-1519#LINE/L1	81	0	1
rnd-4_family-1529#LTR/ERV1	80	1	0.9876543209876543
rnd-4_family-1545#LINE/L1	81	0	1
rnd-4_family-1561#LTR/ERVL	81	0	1
rnd-4_family-1620#LINE/L1	81	0	1
rnd-4_family-1631#LINE/L1	81	0	1
rnd-4_family-1651#LINE/L1	81	0	1
rnd-4_family-17#Unknown	81	0	1
rnd-4_family-1709#LTR/ERVK	81	0	1
rnd-4_family-1721#LTR/ERVK	81	0	1
rnd-4_family-1723#LTR/ERV1	1	80	0.012345679012345678
rnd-4_family-1755#LTR/ERVK	81	0	1
rnd-4_family-18#LTR/ERVK	81	0	1
rnd-4_family-1927#Unknown	81	0	1
rnd-4_family-2#LTR/ERVK	81	0	1
rnd-4_family-2009#LTR/ERVK	81	0	1
rnd-4_family-2082#LINE/L1	81	0	1
rnd-4_family-2222#LTR/ERVK	81	0	1
rnd-4_family-2388#LINE/L1	81	0	1
rnd-4_family-24#LTR/ERVK	81	0	1
rnd-4_family-2565#Unknown	81	0	1
rnd-4_family-279#LINE/L1	81	0	1
rnd-4_family-288#LTR/ERVK	81	0	1
rnd-4_family-290#LTR/ERVK	81	0	1
rnd-4_family-3099#LINE/L1	81	0	1
rnd-4_family-3180#LTR/ERVK	81	0	1
rnd-4_family-324#LINE/L1	81	0	1
rnd-4_family-4073#Retroposon/sno	81	0	1
rnd-4_family-421#LINE/L1	80	1	0.9876543209876543
rnd-4_family-426#LTR/ERVK	81	0	1
rnd-4_family-427#LTR/ERVK	81	0	1
rnd-4_family-437#LTR/ERV1	79	2	0.9753086419753086
rnd-4_family-4422#LTR/ERVK	81	0	1
rnd-4_family-4615#LTR/ERV1	81	0	1
rnd-4_family-499#LTR/ERVK	81	0	1
rnd-4_family-50#LTR/ERVK	81	0	1
rnd-4_family-500#LTR/ERVK	81	0	1
rnd-4_family-503#LINE/L1	81	0	1
rnd-4_family-506#LTR/ERV1	81	0	1
rnd-4_family-568#Retroposon/L1-dep	81	0	1
rnd-4_family-577#LINE/L1	81	0	1
rnd-4_family-584#Retroposon/L1-dep	81	0	1
rnd-4_family-587#LINE/L1	81	0	1
rnd-4_family-595#LINE/L1	81	0	1
rnd-4_family-5958#SINE/5S	81	0	1
rnd-4_family-624#LTR/ERVK	81	0	1
rnd-4_family-642#LTR/ERVK	81	0	1
rnd-4_family-742#LTR/ERVK	81	0	1
rnd-4_family-748#LINE/L1	81	0	1
rnd-4_family-822#LTR/ERVK	81	0	1
rnd-4_family-823#LTR/ERV1	81	0	1
rnd-4_family-893#LTR/ERVK	81	0	1
rnd-4_family-925#LTR/ERV1	81	0	1
rnd-4_family-927#LTR/ERVK	81	0	1
rnd-5_family-10374#LTR/ERVL	81	0	1
rnd-5_family-105#Satellite	81	0	1
rnd-5_family-10531#LINE/L1	81	0	1
rnd-5_family-10584#LINE/L1	81	0	1
rnd-5_family-10805#LINE/L1	81	0	1
rnd-5_family-1099#Unknown	81	0	1
rnd-5_family-11140#LTR/ERVK	81	0	1
rnd-5_family-11179#LINE/L1	81	0	1
rnd-5_family-1122#LTR/ERVK	81	0	1
rnd-5_family-11252#SINE/B2	81	0	1
rnd-5_family-1134#LINE/L1	81	0	1
rnd-5_family-1161#LTR/ERV1	81	0	1
rnd-5_family-1162#LINE/L1	81	0	1
rnd-5_family-1163#LINE/L1	81	0	1
rnd-5_family-11703#LTR/ERVK	81	0	1
rnd-5_family-11880#LINE/L1	81	0	1
rnd-5_family-1192#LINE/L1	81	0	1
rnd-5_family-1195#LTR/ERVK	80	1	0.9876543209876543
rnd-5_family-12347#SINE/Alu	81	0	1
rnd-5_family-12352#Unknown	81	0	1
rnd-5_family-12371#LTR/ERVK	81	0	1
rnd-5_family-1268#LTR/ERVK	81	0	1
rnd-5_family-12715#Unknown	81	0	1
rnd-5_family-13138#LINE/L1	81	0	1
rnd-5_family-13480#LTR/ERVK	81	0	1
rnd-5_family-14#LTR/ERV1	81	0	1
rnd-5_family-1423#LINE/L1	81	0	1
rnd-5_family-1426#LINE/L1	81	0	1
rnd-5_family-1439#LTR/ERV1	81	0	1
rnd-5_family-1444#LTR/ERV1	81	0	1
rnd-5_family-1447#LTR/ERVK	81	0	1
rnd-5_family-146#LTR/Gypsy	81	0	1
rnd-5_family-1471#LINE/L1	81	0	1
rnd-5_family-1483#LINE/L1	81	0	1
rnd-5_family-1489#Satellite	62	19	0.7654320987654321
rnd-5_family-15234#LTR/Pao	81	0	1
rnd-5_family-156#LTR/ERVK	81	0	1
rnd-5_family-1599#LTR/ERV1	81	0	1
rnd-5_family-166#LINE/L1	81	0	1
rnd-5_family-1680#LTR/ERV1	81	0	1
rnd-5_family-169#LINE/L1	81	0	1
rnd-5_family-170#LINE/L1	81	0	1
rnd-5_family-173#LTR/ERV1	81	0	1
rnd-5_family-1736#LTR/ERVK	81	0	1
rnd-5_family-1813#LTR/ERVK	81	0	1
rnd-5_family-18161#LTR/ERV1	81	0	1
rnd-5_family-1823#LTR/ERVK	81	0	1
rnd-5_family-18608#LINE/L1	81	0	1
rnd-5_family-1882#LTR/ERVK	81	0	1
rnd-5_family-18870#LTR/ERVK	81	0	1
rnd-5_family-1928#SINE/Alu	81	0	1
rnd-5_family-19556#LTR/ERV	80	1	0.9876543209876543
rnd-5_family-1970#LINE/L1	81	0	1
rnd-5_family-1990#LINE/L1	81	0	1
rnd-5_family-2003#LTR/ERVK	81	0	1
rnd-5_family-2064#LINE/L1	81	0	1
rnd-5_family-2166#LTR/ERVK	81	0	1
rnd-5_family-2254#Unknown	80	1	0.9876543209876543
rnd-5_family-2275#LINE/L1	81	0	1
rnd-5_family-2292#LTR/ERVK	81	0	1
rnd-5_family-2388#LTR/ERVK	81	0	1
rnd-5_family-2395#LTR/ERVL-MaLR	81	0	1
rnd-5_family-2398#Unknown	81	0	1
rnd-5_family-24116#LINE/L1	81	0	1
rnd-5_family-2412#LTR/ERV1	81	0	1
rnd-5_family-25189#Unknown	81	0	1
rnd-5_family-2547#LINE/L1	81	0	1
rnd-5_family-2720#LTR/ERVK	81	0	1
rnd-5_family-275#LINE/L1	81	0	1
rnd-5_family-276#Unknown	81	0	1
rnd-5_family-2771#Unknown	81	0	1
rnd-5_family-2778#SINE/Alu	81	0	1
rnd-5_family-2791#LTR/ERVK	81	0	1
rnd-5_family-2833#Unknown	80	1	0.9876543209876543
rnd-5_family-2856#LINE/L1	81	0	1
rnd-5_family-2928#LINE/L1	81	0	1
rnd-5_family-2931#LINE/L1	81	0	1
rnd-5_family-2991#LINE/L1	81	0	1
rnd-5_family-2992#LINE/L1	80	1	0.9876543209876543
rnd-5_family-3006#LTR/ERVL	81	0	1
rnd-5_family-3050#LINE/L1-Tx1	81	0	1
rnd-5_family-3075#SINE/B2	81	0	1
rnd-5_family-3113#LINE/L1	81	0	1
rnd-5_family-3118#LINE/L1	81	0	1
rnd-5_family-3161#LTR/ERVK	81	0	1
rnd-5_family-3205#LINE/L1	81	0	1
rnd-5_family-3211#LTR/ERV1	80	1	0.9876543209876543
rnd-5_family-3224#LINE/L1	81	0	1
rnd-5_family-3251#LINE/L1	81	0	1
rnd-5_family-3381#LTR/ERVK	81	0	1
rnd-5_family-3401#LINE/L1	81	0	1
rnd-5_family-3453#Unknown	81	0	1
rnd-5_family-3574#Unknown	81	0	1
rnd-5_family-3589#Unknown	58	23	0.7160493827160493
rnd-5_family-36#LTR/ERVK	81	0	1
rnd-5_family-3704#LINE/L1	81	0	1
rnd-5_family-3735#LINE/L1	81	0	1
rnd-5_family-3738#Unknown	81	0	1
rnd-5_family-3765#LINE/L1	79	2	0.9753086419753086
rnd-5_family-3807#LINE/L1	81	0	1
rnd-5_family-3857#LINE/L1	81	0	1
rnd-5_family-3928#SINE/Alu	81	0	1
rnd-5_family-3954#LINE/L1	81	0	1
rnd-5_family-4160#Satellite	38	43	0.4691358024691358
rnd-5_family-4269#LINE/L1	81	0	1
rnd-5_family-4296#LINE/L1	81	0	1
rnd-5_family-4337#LINE/L1	81	0	1
rnd-5_family-4341#LINE/L1	81	0	1
rnd-5_family-441#LINE/L1	81	0	1
rnd-5_family-4558#LTR/ERVK	80	1	0.9876543209876543
rnd-5_family-4563#LTR/ERVK	81	0	1
rnd-5_family-4598#LTR/ERVL	80	1	0.9876543209876543
rnd-5_family-4756#LINE/L1	81	0	1
rnd-5_family-4793#LTR/ERV1	81	0	1
rnd-5_family-4894#LINE/L1	81	0	1
rnd-5_family-49#LINE/L1	81	0	1
rnd-5_family-4930#LINE/L1	81	0	1
rnd-5_family-5010#LINE/L1	81	0	1
rnd-5_family-5037#LTR/ERVK	81	0	1
rnd-5_family-521#LINE/L1	81	0	1
rnd-5_family-5333#LINE/L1	81	0	1
rnd-5_family-5357#Retroposon/L1-dep	2	79	0.024691358024691357
rnd-5_family-5397#LINE/L1	81	0	1
rnd-5_family-5398#LINE/L1	81	0	1
rnd-5_family-5399#LINE/L1	81	0	1
rnd-5_family-5400#LINE/L1	81	0	1
rnd-5_family-5404#LTR/ERVK	81	0	1
rnd-5_family-5408#LTR/ERVK	81	0	1
rnd-5_family-546#LINE/L1	81	0	1
rnd-5_family-558#LINE/L1	81	0	1
rnd-5_family-560#LINE/L1	81	0	1
rnd-5_family-561#LINE/L1	81	0	1
rnd-5_family-562#LINE/L1	81	0	1
rnd-5_family-564#LINE/L1	81	0	1
rnd-5_family-566#LINE/L1	81	0	1
rnd-5_family-5742#LTR/ERVK	81	0	1
rnd-5_family-5794#LINE/L1	81	0	1
rnd-5_family-5827#LTR/ERV1	81	0	1
rnd-5_family-5853#LINE/L1	81	0	1
rnd-5_family-5856#LTR/ERVL	81	0	1
rnd-5_family-5863#LTR/ERV1	61	20	0.7530864197530864
rnd-5_family-597#LTR/ERVK	81	0	1
rnd-5_family-602#LTR/ERV1	81	0	1
rnd-5_family-6152#LTR/ERV1	81	0	1
rnd-5_family-6188#LTR/ERVK	81	0	1
rnd-5_family-622#LTR/ERV1	81	0	1
rnd-5_family-6310#LTR/ERVK	81	0	1
rnd-5_family-6318#LTR/ERV1	81	0	1
rnd-5_family-6446#Unknown	81	0	1
rnd-5_family-6478#Unknown	81	0	1
rnd-5_family-6539#LTR/ERVK	81	0	1
rnd-5_family-6566#SINE/Alu	81	0	1
rnd-5_family-6709#Unknown	81	0	1
rnd-5_family-682#LINE/L1	81	0	1
rnd-5_family-7013#LTR/ERVK	81	0	1
rnd-5_family-7021#SINE/Alu	81	0	1
rnd-5_family-7038#LTR/ERV1	81	0	1
rnd-5_family-7057#LTR/Gypsy	81	0	1
rnd-5_family-71#SINE/Alu	81	0	1
rnd-5_family-723#LTR/ERVK	81	0	1
rnd-5_family-7429#LINE/L1	81	0	1
rnd-5_family-752#Unknown	81	0	1
rnd-5_family-7566#SINE/Alu	81	0	1
rnd-5_family-7568#SINE/Alu	81	0	1
rnd-5_family-7569#SINE/Alu	81	0	1
rnd-5_family-7572#LINE/L1	81	0	1
rnd-5_family-7581#LINE/L1	81	0	1
rnd-5_family-7669#SINE/Alu	81	0	1
rnd-5_family-7679#SINE/B2	81	0	1
rnd-5_family-7708#LTR/ERV1	81	0	1
rnd-5_family-810#LINE/L1	81	0	1
