Species	te	maxScore	present_in
10024	ARNOLD1	0.763131078561179	4
9728	ARNOLD1	0.9533332871195158	4
6909	ARNOLD1	0.9805971287355206	4
1741	ARNOLD1	0.6365791608032886	4
9764	ARNOLD2	0.5931017369727047	26
22006	ARNOLD2	0.5982275788727401	26
22007	ARNOLD2	0.5517688762850054	26
9888	ARNOLD2	0.5510173697270472	26
8236	ARNOLD2	0.8209925558312655	26
9075	ARNOLD2	0.6175469691598724	26
22005	ARNOLD2	0.5980999645515774	26
10015	ARNOLD2	0.5537610776320454	26
9543	ARNOLD2	0.5480751506557958	26
22001	ARNOLD2	0.543431407302375	26
6966	ARNOLD2	0.5500319035802906	26
1741	ARNOLD2	0.5523856788372917	26
9638	ARNOLD2	0.6137894363700815	26
10024	ARNOLD2	0.6417582417582418	26
9905	ARNOLD2	0.5154058844381425	26
9981	ARNOLD2	0.5502020560085076	26
6909	ARNOLD2	0.9802977667493796	26
6244	ARNOLD2	0.5774618929457639	26
9537	ARNOLD2	0.8944913151364764	26
9728	ARNOLD2	0.8194399149237859	26
22004	ARNOLD2	0.5625522864232542	26
6024	ARNOLD2	0.6145693016660758	26
10002	ARNOLD2	0.8222048918823113	26
22003	ARNOLD2	0.9373697270471464	26
22002	ARNOLD2	0.5523006026231833	26
6124	ARNOLD2	0.5478199220134704	26
6909	ARNOLD3	0.9803655857935296	23
10002	ARNOLD3	0.6494322623878486	23
22005	ARNOLD3	0.5546256654629388	23
10015	ARNOLD3	0.5576411898291203	23
9764	ARNOLD3	0.5594802874055322	23
6124	ARNOLD3	0.8685529205911917	23
22007	ARNOLD3	0.5543948475484903	23
10024	ARNOLD3	0.5574848293064294	23
1741	ARNOLD3	0.5581549458322475	23
9638	ARNOLD3	0.9774096273407542	23
9888	ARNOLD3	0.5521238970998846	23
9905	ARNOLD3	0.5596589851457503	23
22002	ARNOLD3	0.8655969621384163	23
9728	ARNOLD3	0.9724358735713488	23
22001	ARNOLD3	0.6432895275678493	23
8236	ARNOLD3	0.5462268716726854	23
6244	ARNOLD3	0.8459029820185399	23
6024	ARNOLD3	0.8440117642678977	23
22003	ARNOLD3	0.5819887569338446	23
6966	ARNOLD3	0.5459513793231823	23
9981	ARNOLD3	0.5592122407952049	23
9537	ARNOLD3	0.5506943151781393	23
6069	ARNOLD3	0.972212501396076	23
22001	ARNOLD4	0.59349898948023	24
10002	ARNOLD4	0.7363450277245167	24
1741	ARNOLD4	0.7269394206353319	24
9905	ARNOLD4	0.7304114629216977	24
9728	ARNOLD4	0.7200860237342592	24
22006	ARNOLD4	0.5646603098927294	24
6909	ARNOLD4	0.9806964813183396	24
9543	ARNOLD4	0.5340596983987148	24
22004	ARNOLD4	0.5173731668134943	24
6069	ARNOLD4	0.5338912784370627	24
9075	ARNOLD4	0.6883194278903456	24
6024	ARNOLD4	0.7614266466290097	24
6124	ARNOLD4	0.8732315904026533	24
9764	ARNOLD4	0.9574674819920196	24
9888	ARNOLD4	0.5341633414520391	24
9981	ARNOLD4	0.8609110224387211	24
10015	ARNOLD4	0.5941208478001762	24
22005	ARNOLD4	0.564388246877753	24
9638	ARNOLD4	0.7385733533709903	24
22003	ARNOLD4	0.6306032025703477	24
6244	ARNOLD4	0.5336839923304141	24
9537	ARNOLD4	0.7255143286521221	24
22007	ARNOLD4	0.7281313157485619	24
8236	ARNOLD4	0.7313572057832823	24
22001	ARNOLDY1	0.7601839297294111	27
6069	ARNOLDY1	0.7721511525084006	27
9537	ARNOLDY1	0.8004480339562577	27
6244	ARNOLDY1	0.7721511525084006	27
22006	ARNOLDY1	0.7431468490243471	27
6024	ARNOLDY1	0.7811707834699051	27
10002	ARNOLDY1	0.7690267051818664	27
22005	ARNOLDY1	0.788716618522667	27
22007	ARNOLDY1	0.7359547249896834	27
10024	ARNOLDY1	0.7504568767317102	27
6124	ARNOLDY1	0.8081707245180687	27
22004	ARNOLDY1	0.7483935624594706	27
6909	ARNOLDY1	0.8225549725873961	27
22002	ARNOLDY1	0.7698520308907623	27
9888	ARNOLDY1	0.7985026233567175	27
6966	ARNOLDY1	0.7461533926781819	27
9981	ARNOLDY1	0.8052231327005837	27
9543	ARNOLDY1	0.7402582090432117	27
9638	ARNOLDY1	0.7608913517656075	27
10015	ARNOLDY1	0.7608913517656075	27
9905	ARNOLDY1	0.7600660260567117	27
9728	ARNOLDY1	0.7917821140128515	27
8236	ARNOLDY1	0.7978541531568708	27
1741	ARNOLDY1	0.738430702116371	27
9075	ARNOLDY1	0.8019218298650003	27
9764	ARNOLDY1	0.7737428520898426	27
22003	ARNOLDY1	0.8044567588280375	27
10015	ARNOLDY2	0.7515460881515658	27
22005	ARNOLDY2	0.7330911946598606	27
6244	ARNOLDY2	0.7255325414744281	27
8236	ARNOLDY2	0.7489938156473938	27
10024	ARNOLDY2	0.7493864729557279	27
9981	ARNOLDY2	0.7472268577598901	27
22004	ARNOLDY2	0.7267105133994306	27
22001	ARNOLDY2	0.7540001963286541	27
22007	ARNOLDY2	0.7192500245410818	27
22002	ARNOLDY2	0.7098262491410622	27
9543	ARNOLDY2	0.7312260724452734	27
9075	ARNOLDY2	0.7430057916952979	27
9537	ARNOLDY2	0.7497791302640621	27
9888	ARNOLDY2	0.7461470501619711	27
1741	ARNOLDY2	0.7219986256994209	27
6909	ARNOLDY2	0.7771669775203691	27
6966	ARNOLDY2	0.6280553646804751	27
