alias	population	latitude	longitude	ploidy_man_curated	Species_fin	ENA accession	Project
ERR3397904	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397904	PRJEB33206
ERR3397905	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397905	PRJEB33206
ERR3397906	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397906	PRJEB33206
ERR3397907	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397907	PRJEB33206
ERR3397908	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397908	PRJEB33206
ERR3397909	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397909	PRJEB33206
ERR3397910	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397910	PRJEB33206
ERR3397911	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397911	PRJEB33206
ERR3397912	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397912	PRJEB33206
ERR3397913	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397913	PRJEB33206
ERR3397914	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397914	PRJEB33206
ERR3514858	Central_Europe_4n	46.78442	17.28775	4	A. lyrata	ERR3514858	PRJEB34247
ERR3514859	Central_Europe_4n	46.78442	17.28775	4	A. lyrata	ERR3514859	PRJEB34247
ERR3514860	Central_Europe_4n	46.78442	17.28775	4	A. lyrata	ERR3514860	PRJEB34247
ERR3514864	Central_Europe_4n	48.29432	15.42614	4	A. lyrata	ERR3514864	PRJEB34247
ERR3514865	Central_Europe_4n	48.29432	15.42614	4	A. lyrata	ERR3514865	PRJEB34247
ERR3514866	Central_Europe_4n	48.29432	15.42614	4	A. lyrata	ERR3514866	PRJEB34247
ERR3514869	Central_Europe_4n	48.09283	16.27073	4	A. lyrata	ERR3514869	PRJEB34247
ERR3514870	Central_Europe_4n	48.09283	16.27073	4	A. lyrata	ERR3514870	PRJEB34247
ERR3514871	Central_Europe_4n	48.09283	16.27073	4	A. lyrata	ERR3514871	PRJEB34247
ERR3514872	Central_Europe_4n	48.39649	15.55268	4	A. lyrata	ERR3514872	PRJEB34247
ERR3514873	Central_Europe_4n	48.39649	15.55268	4	A. lyrata	ERR3514873	PRJEB34247
ERR3514874	Central_Europe_4n	48.39649	15.55268	4	A. lyrata	ERR3514874	PRJEB34247
ERR3514875	Central_Europe_4n	48.3818	15.56031	4	A. lyrata	ERR3514875	PRJEB34247
ERR3514876	Central_Europe_4n	48.3818	15.56031	4	A. lyrata	ERR3514876	PRJEB34247
ERR3514877	Central_Europe_4n	48.3818	15.56031	4	A. lyrata	ERR3514877	PRJEB34247
