ID	load	families_present
SAMN04044077	203	0.9806763285024155
SAMN04044078	202	0.9758454106280193
SRR3739672	205	0.9903381642512077
SRR3739673	204	0.9855072463768116
SRR3739674	205	0.9903381642512077
SRR3739675	205	0.9903381642512077
SRR3739676	205	0.9903381642512077
SRR3739677	206	0.9951690821256038
SRR3739678	206	0.9951690821256038
SRR3739679	205	0.9903381642512077
SRR3739680	204	0.9855072463768116
SRR3739681	207	1
SRR3739682	206	0.9951690821256038
SRR3739683	206	0.9951690821256038
SRR3739684	204	0.9855072463768116
SRR3739685	205	0.9903381642512077
SRR3739686	205	0.9903381642512077
SRR3739687	204	0.9855072463768116
SRR3739688	206	0.9951690821256038
SRR3739689	205	0.9903381642512077
SRR3739690	205	0.9903381642512077
SRR5860574	207	1
SRR5860575	207	1
SRR5860578	207	1
SRR5860579	207	1
SRR5860580	207	1
SRR5860581	207	1
SRR5860585	207	1
SRR5860586	207	1
SRR5860587	207	1
SRR5860588	207	1
SRR5860589	207	1
SRR5860590	207	1
SRR5860591	207	1
SRR5860592	205	0.9903381642512077
SRR5860593	207	1
SRR5860594	207	1
SRR5860595	207	1
SRR5860596	207	1
SRR5860597	207	1
SRR5860598	207	1
SRR5860599	207	1
SRR5860600	207	1
SRR5860601	207	1
SRR5860602	207	1
SRR5860603	207	1
SRR5860604	207	1
SRR5860646	207	1
SRR5860647	207	1
SRR5860648	207	1
SRR5860649	207	1
SRR5860650	207	1
SRR5860651	207	1
SRR5860652	207	1
SRR5860653	207	1
SRR5860654	205	0.9903381642512077
SRR5860655	207	1
