ID	load	families_present
SRR14138506	159	0.99375
SRR14138507	159	0.99375
SRR5860570	159	0.99375
SRR5860573	159	0.99375
SRR5860582	159	0.99375
SRR5860583	160	1
SRR5860584	159	0.99375
SRR5860625	160	1
SRR5860626	160	1
SRR5860627	160	1
SRR5860628	160	1
SRR5860629	160	1
SRR5860630	160	1
SRR5860631	160	1
SRR5860632	160	1
SRR5860633	160	1
SRR5860634	160	1
SRR5860639	160	1
SRR5860640	160	1
SRR5860643	160	1
SRR5860644	160	1
SRR5860645	159	0.99375
SRR5860656	159	0.99375
SRR5860657	159	0.99375
SRR5860658	159	0.99375
SRR5860659	159	0.99375
SRR5860660	159	0.99375
SRR5860661	159	0.99375
SRR5860662	159	0.99375
SRR5860663	159	0.99375
SRR5860664	159	0.99375
SRR5860665	159	0.99375
SRR5860666	160	1
SRR5860667	160	1
SRR5860668	160	1
SRR5860669	160	1
SRR5860670	160	1
SRR5860671	160	1
SRR5860672	160	1
SRR5860673	160	1
SRR5860674	160	1
SRR5860675	160	1
SRR5860676	159	0.99375
SRR7697345	160	1
SRR9913024	159	0.99375
